Computer_Name,Model,Conversion_Status,Drive_Letter,Key_Protectors,Encryption_Method,Protection_Status,TPM_Activated,TPM_Enabled,TPM_Owned,TPM_Spec_Version,Manufacturer_Version
3IND12JZ7Q2,Precision 5820 Tower,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",1.3.2.8
1USLSANTILLO,Latitude 7490,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
4FILMIBLOMQV,XPS 13 9370,Encrypted,C:,Numerical PW and TPM & PIN,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
1USLTTURPACK1,Latitude 7490,Encrypted,C:,Numerical PW and TPM & PIN,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
4FRLMADEC2,Latitude 7490,Encrypted,C:,Numerical PW and TPM & PIN,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
3INLSMISTRY2,Latitude 7490,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
3INLASYADAV1,Latitude 7490,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
3IND93JWDV2,Precision 5820 Tower,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,Off,Yes,Yes,Yes,"2.0, 0, 1.16",1.3.2.8
3INDGHULE2,Precision 5820 Tower,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",1.3.2.8
9XXDVUPADHYA,Precision 5820 Tower,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",1.3.2.8
9XXDSASHAIKH,Precision 5820 Tower,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",1.3.2.8
3IND93FXDV2,Precision 5820 Tower,Encrypted,C:,Numerical PW and TPM,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.16",1.3.2.8
3IND933WDV2,Precision 5820 Tower,Encrypted,C:,Numerical PW and TPM,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.16",1.3.2.8
3IND935SDV2,Precision 5820 Tower,Encrypted,C:,Numerical PW and TPM,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.16",1.3.2.8
3INONANDAL,Precision 5820 Tower,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",1.3.2.8
3INDHEMSINGH2,Precision 5820 Tower,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",1.3.2.8
3INDMANDLIK1,Precision 5820 Tower,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",1.3.2.8
9XXDSPHADTAR1,Precision 5820 Tower,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",1.3.2.8
3INDRODIXIT,Precision 5820 Tower,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",1.3.2.8
3INLAGHOSH1,Latitude 7490,Encrypted,C:,Numerical PW and TPM,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
1BRLDPORTERO,Latitude 7490,Encrypted,C:,Numerical PW and TPM,XTS-AES 128,Off,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
2USLKGRANT,Latitude 7490,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
1THLARIYADIL1,Latitude 7490,Encrypted,C:,Numerical PW and TPM,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
1MYLSNADUN2,Latitude 7490,Encrypted,C:,Numerical PW and TPM & PIN,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
MININT-EIH943N,Precision 7520,Encrypted,C:,Numerical PW and TPM & PIN,XTS-AES 128,Off,Yes,Yes,Yes,"2.0, 0, 1.16",1.3.1.0
3INLZUTING1,Latitude 7490,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
MININT-KMVCPU7,Latitude 7490,Encrypted,C:,Numerical PW and TPM & PIN,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
3INLPKALSEKA,Latitude 7490,Encrypted,C:,Numerical PW and TPM & PIN,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.2
3INLABISWAS1,Latitude 7490,Encrypted,C:,Numerical PW and TPM & PIN,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
9XXLWHITESID,Latitude 7490,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
2USLSINGLA1,Latitude 7490,Encrypted,C:,Numerical PW and TPM & PIN,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
9XXLJCANA,Latitude 7490,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
3INDSHTHAKUR,Precision 5820 Tower,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",1.3.2.8
2USLLTRAVEN2,Latitude 7490,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
9XXLAYUNG,XPS 13 9370,Encrypted,C:,Numerical PW and TPM & PIN,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
4DEDSINIAKOV2,Precision Tower 5810,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"1.2, 2, 3",5.79
9XXLLLANOS,Latitude 7490,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
1CNLWENBO,Latitude 7490,Encrypted,C:,Numerical PW and TPM,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.2
4GRLMPRITS4,Latitude 7490,Encrypted,C:,Numerical PW and TPM & PIN,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.2
4FRLDBEAUG1,Latitude 7490,Encrypted,C:,Numerical PW and TPM & PIN,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.2
3INLIDO3VAGIR,Latitude 7490,Encrypted,C:,Numerical PW and TPM,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
4DELKAMILI2,Latitude 7490,Encrypted,C:,Numerical PW and TPM & PIN,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
3INDVARMA,Precision 5820 Tower,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",1.3.2.8
1USLTORRES2,XPS 13 9370,Encrypted,C:,Numerical PW and TPM & PIN,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
4DELJOZROMAN1,Latitude 7480,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",1.3.2.8
9XXLKHACHAB,Latitude 7490,Encrypted,C:,Numerical PW and TPM & PIN,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
9XXLJEZYNA1,Latitude 7490,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
4KZLIBOKANOV2,Latitude 7480,Encrypted,C:,Numerical PW and TPM,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.16",1.3.1.0
9XXLZHELI,Latitude 7400,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.38",74.8.17568.5511
2USLKIFUNG2,Latitude 7490,Encrypted,C:,Numerical PW and TPM & PIN,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.2
4DELJLARROSA2,XPS 13 9370,Encrypted,C:,Numerical PW and TPM,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
MININT-ISGL20I,Latitude 7490,Encrypted,C:,Numerical PW and TPM & PIN,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
4DELBERCHNER,XPS 13 9370,Encrypted,C:,Numerical PW and TPM & PIN,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
4NLLKLAASSEN1,Latitude 7490,Encrypted,C:,Numerical PW and TPM & PIN,XTS-AES 128,Off,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
9XXLDINEEN,Latitude 7400,Encrypted,C:,Numerical PW and TPM & PIN,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.38",74.8.17568.5511
4NLLMMUNTE2,Latitude 7400,Encrypted,C:,Numerical PW and TPM & PIN,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.38",74.8.17568.5511
4SGLS2TAN1,Latitude 7400,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.38",74.8.17568.5511
3INLKALSEKAR1,Latitude 7400,Encrypted,C:,Numerical PW and TPM,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.38",74.8.17568.5511
1MXLMARICRAM,Latitude 7490,Encrypted,C:,Numerical PW and TPM & PIN,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.2
1USLRMALY2,Latitude 7400,Encrypted,C:,Numerical PW and TPM & PIN,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.38",74.8.17568.5511
4PLLRUBELEK,Latitude 7490,Encrypted,C:,Numerical PW and TPM,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
1CALGCOOK2,Latitude 7490,Encrypted,C:,Numerical PW and TPM,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
9XXDKASHID,Precision 5820 Tower,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",1.3.2.8
3INLSKEDARI2,Latitude 7300,Encrypted,C:,Numerical PW and TPM & PIN,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.38",74.8.17568.5511
9XXDTAMATTA1,Precision 5820 Tower,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",1.3.2.8
3IND8TJXJ03,Precision 5820 Tower,Encrypted,C:,Numerical PW and TPM,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.16",1.3.2.8
3IND8GCR3W2,Precision 5820 Tower,Encrypted,C:,Numerical PW and TPM,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.16",1.3.2.8
9XXDSPATIL2,Precision 5820 Tower,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",1.3.2.8
9XXDPOOPATEL1,Precision 5820 Tower,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",1.3.2.8
9XXDRBHOR,Precision 5820 Tower,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",1.3.2.8
2USLMSANCHEZ1,Latitude 7300,Encrypted,C:,Numerical PW and TPM & PIN,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.38",74.8.17568.5511
2USLCARGARZA5,Latitude 7400,Encrypted,C:,Numerical PW and TPM & PIN,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.38",74.8.17568.5511
1PHLCAGALANG2,Latitude 7490,Encrypted,C:,Numerical PW and TPM,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
MININT-VO1BV9S,Latitude 7490,Encrypted,C:,Numerical PW and TPM,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
2USDKPETTY,Precision 5540,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.2
4NLLPCZERN,XPS 13 9370,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
4DELPLEWAN1,Latitude 7490,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
3INLVOHOL,Latitude 7490,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
3INDGIREESHA1,Precision 5540,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.2
9XXLAVISHWAK13,Latitude 7490,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.2
3INLSNAGAWAD,Latitude 7490,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.2
4NLLPORRE,XPS 13 9370,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
MININT-04T0EA0,Latitude 7400,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.38",74.8.17568.5511
MININT-ECJD29C,Latitude 7400,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.38",74.8.17568.5511
3INLPAMBRE2,Latitude 7400,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.38",74.8.17568.5511
9XXLLANGE,Latitude 7400,Encrypted,C:,Numerical PW and TPM,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.38",74.8.17568.5511
9XXLMILAZZO1,Latitude 7400,Encrypted,C:,Numerical PW and TPM,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.38",74.8.17568.5511
2USLBADER1,Latitude 7400,Encrypted,C:,Numerical PW and TPM & PIN,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.38",74.8.17568.5511
2USLANDHOWAR2,Latitude 7400,Encrypted,C:,Numerical PW and TPM,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.38",74.8.17568.5511
9XXDPINDULKA1,Precision 5540,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.2
3INDAKYADAV21,Precision 5540,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.2
3INDBANILKUM2,Precision 5540,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.2
1TWDGUANLWU1,Precision 5540,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.2
4NLDRCJUMP,Precision Tower 5810,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"1.2, 2, 3",5.79
4GBLKATCLARK2,Latitude 7490,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
4FRLFERAND1,Latitude 7490,Encrypted,C:,Numerical PW and TPM & PIN,XTS-AES 128,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
3INDKNAYAK,Precision 5540,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.2
3INDPUJADHAV1,Precision 5540,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.2
9XXDMUDALIYA1,Precision 5540,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.2
9XXDAYADAV102,Precision 5540,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.2
9XXDDHAMI,Precision 5540,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.2
3INDSSKASAB1,Precision 5540,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.2
9XXLPAMAIAHG,Latitude 7400,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.38",74.8.17568.5511
3INDBDIAS,Precision 5540,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.2
3INDSUTALEKA3,Precision 5540,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.2
9XXDDALMEIDA,Precision 5540,Encrypted,C:,Numerical PW and TPM,XTS-AES 256,On,Yes,Yes,Yes,"2.0, 0, 1.16",7.2.0.1
